college_code,college_clean,branch_canonical,category,mean_cutoff,min_cutoff,max_cutoff,std_cutoff,n_years,latest_cutoff,trend,predicted_2026
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,1R,-9.223372036854776e+18,-9223372036854775808,-9223372036854775808,0.0,1,-9223372036854775808,7.905747459257903e+17,1
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,2AG,68461.0,68461,68461,0.0,1,68461,-9.223372035932453e+17,1
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,2AK,71770.0,71770,71770,0.0,1,71770,12223.89999877761,83994
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,2AR,77151.0,77151,77151,0.0,1,77151,7526.9999992473,84678
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,2BG,76027.0,76027,76027,0.0,1,76027,6021.09999939789,82048
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,2BK,102468109801.0,102468109801,102468109801,0.0,1,102468109801,-43148318127.92584,250000
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,2BR,85675.0,85675,85675,0.0,1,85675,1078077009.0921922,250000
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,3AG,73602.0,73602,73602,0.0,1,73602,5894.49999941055,79496
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,3AK,62276.0,62276,62276,0.0,1,62276,3972.49999801375,66248
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,3AR,58789.0,58789,58789,0.0,1,58789,10927.09999781458,69716
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,3BG,-9.223372036854776e+18,-9223372036854775808,-9223372036854775808,0.0,1,-9223372036854775808,9.223372035932584e+17,1
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,3BK,66309.0,66309,66309,0.0,1,66309,-9.22337203501015e+17,1
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,3BR,46143.0,46143,46143,0.0,1,46143,5694.09999943059,51837
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,GM,57164.0,57164,57164,0.0,1,57164,-9.223372035932457e+17,1
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,GMK,54344.0,54344,54344,0.0,1,54344,5060.09999949399,59404
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,GMR,71349.0,71349,71349,0.0,1,71349,7950.89999920491,79300
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,SCG,82281.0,82281,82281,0.0,1,82281,7398.29999926017,89679
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,SCK,76048.0,76048,76048,0.0,1,76048,1019961407.2980038,250000
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,SCR,61725.0,61725,61725,0.0,1,61725,12457415267.954258,250000
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,1G,2910.0,2910,2910,0.0,1,2910,1231.39999987686,4141
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,2AG,3181.0,3181,3181,0.0,1,3181,879.999999912,4061
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,2AR,5152.0,5152,5152,0.0,1,5152,672.79999993272,5825
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,2BG,3894.0,3894,3894,0.0,1,3894,1485.69999985143,5380
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,3AG,2137.0,2137,2137,0.0,1,2137,667.09999993329,2804
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,3AK,9604.0,9604,9604,0.0,1,9604,0.0,9604
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,3BG,2262.0,2262,2262,0.0,1,2262,672.29999993277,2934
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,GM,1969.0,1969,1969,0.0,1,1969,570.79999994292,2540
